empid,designation,courseid,course_name,duration_weeks,difficulty_level,completion_rate,learning_path
EMP283,QA,COURSE050,E-commerce Development,2,Intermediate,57.07,Cloud Computing
EMP179,HR,COURSE047,Data Structures,1,Advanced,74.85,Web Development
EMP448,Lead,COURSE029,Data Analysis with Python,5,Advanced,57.76,Data Science
EMP244,Lead,COURSE013,Scrum Master Certification,6,Beginner,9.1,Machine Learning
EMP098,HR,COURSE030,Cloud Basics,3,Advanced,5.68,Data Science
EMP255,Designer,COURSE011,Python for Data Science,6,Advanced,66.62,Machine Learning
EMP492,HR,COURSE046,Virtualization Technologies,4,Beginner,36.69,Machine Learning
EMP007,Lead,COURSE009,Networking Essentials,1,Intermediate,95.43,Cloud Computing
EMP087,DevOps,COURSE044,Business Analytics,3,Advanced,50.22,Cybersecurity
EMP365,SDE2,COURSE031,Mobile App Development,5,Advanced,91.52,Cloud Computing
EMP152,HR,COURSE021,ITIL Foundation,3,Intermediate,80.22,Cloud Computing
EMP157,QA,COURSE026,Digital Marketing,2,Intermediate,55.08,Web Development
EMP235,Lead,COURSE005,Machine Learning Basics,4,Advanced,30.92,Machine Learning
EMP390,SDE2,COURSE004,Network Security,5,Beginner,93.87,Data Science
EMP057,Manager,COURSE009,Networking Essentials,1,Intermediate,3.6,Cloud Computing
EMP322,HR,COURSE016,Backend Development,6,Intermediate,41.42,Data Science
EMP497,Manager,COURSE028,API Development,4,Intermediate,44.73,Machine Learning
EMP284,QA,COURSE022,Web Design,3,Advanced,24.9,Data Science
EMP370,SDE1,COURSE005,Machine Learning Basics,4,Advanced,85.55,Machine Learning
EMP306,DevOps,COURSE003,ITIL Foundation,5,Intermediate,14.95,Cloud Computing
EMP420,HR,COURSE041,Backend Development,4,Advanced,22.3,Data Science
EMP494,Manager,COURSE004,Network Security,5,Beginner,58.81,Data Science
EMP149,SDE2,COURSE049,Data Science with R,1,Advanced,16.49,Cybersecurity
EMP080,Lead,COURSE011,Python for Data Science,6,Advanced,22.24,Machine Learning
EMP291,SDE1,COURSE018,Blockchain Basics,6,Advanced,97.54,Machine Learning
EMP202,DevOps,COURSE008,Remote Work Skills,4,Intermediate,38.91,Data Science
EMP239,Manager,COURSE048,Network Security,5,Advanced,25.62,Machine Learning
EMP175,SDE1,COURSE030,Cloud Basics,3,Advanced,59.26,Data Science
EMP317,DevOps,COURSE027,Deep Learning,6,Beginner,69.75,Web Development
EMP078,Lead,COURSE012,Responsive Web Design,3,Beginner,75.28,Machine Learning
EMP372,DevOps,COURSE002,Database Management,2,Beginner,14.31,Cloud Computing
EMP477,HR,COURSE033,DevOps Fundamentals,4,Intermediate,51.33,Machine Learning
