empID,courseID,completion_rate
EMP284,COURSE007,59
EMP453,COURSE041,61
EMP469,COURSE007,26
EMP463,COURSE011,39
EMP210,COURSE033,71
EMP458,COURSE039,59
EMP352,COURSE044,81
EMP016,COURSE006,55
EMP003,COURSE017,34
EMP436,COURSE011,25
EMP131,COURSE004,73
EMP196,COURSE021,23
EMP051,COURSE013,64
EMP037,COURSE014,61
EMP448,COURSE022,57
EMP297,COURSE027,4
EMP095,COURSE019,74
EMP317,COURSE043,33
EMP335,COURSE029,30
EMP374,COURSE031,54
EMP439,COURSE049,12
EMP080,COURSE042,90
EMP057,COURSE005,33
EMP056,COURSE044,58
EMP081,COURSE018,25
EMP491,COURSE047,5
EMP045,COURSE003,0
EMP050,COURSE005,58
EMP473,COURSE013,28
EMP172,COURSE031,12
EMP320,COURSE015,51
EMP271,COURSE011,87
EMP424,COURSE032,68
EMP307,COURSE024,12
EMP472,COURSE048,48
EMP154,COURSE035,37
EMP401,COURSE011,88
EMP461,COURSE045,81
EMP387,COURSE032,72
EMP009,COURSE026,88
EMP358,COURSE008,32
EMP293,COURSE002,28
EMP374,COURSE050,49
EMP307,COURSE024,23
EMP174,COURSE035,87
EMP202,COURSE002,67
EMP283,COURSE036,53
EMP126,COURSE028,58
EMP109,COURSE027,32
EMP132,COURSE007,55
EMP284,COURSE049,60
EMP239,COURSE004,75
EMP251,COURSE017,18
EMP476,COURSE044,2
EMP213,COURSE044,46
EMP454,COURSE020,84
EMP029,COURSE015,31
EMP200,COURSE034,38
EMP228,COURSE018,83
EMP114,COURSE005,37
EMP199,COURSE008,79
EMP352,COURSE011,2
EMP018,COURSE002,27
EMP149,COURSE018,47
EMP301,COURSE034,3
EMP291,COURSE045,16
EMP373,COURSE024,98
EMP305,COURSE003,18
EMP298,COURSE018,96
EMP455,COURSE042,54
EMP361,COURSE031,35
EMP278,COURSE015,44
EMP434,COURSE038,79
EMP100,COURSE027,92
EMP021,COURSE004,78
EMP357,COURSE042,37
EMP271,COURSE032,58
EMP200,COURSE005,17
EMP361,COURSE035,57
EMP067,COURSE009,75
EMP459,COURSE003,92
EMP246,COURSE019,89
EMP484,COURSE005,58
EMP500,COURSE011,4
EMP090,COURSE022,43
EMP223,COURSE017,45
EMP134,COURSE044,88
EMP053,COURSE014,20
EMP097,COURSE032,94
EMP095,COURSE045,52
EMP303,COURSE024,13
EMP411,COURSE028,9
EMP366,COURSE007,22
EMP056,COURSE011,38
EMP465,COURSE035,94
EMP050,COURSE019,9
EMP146,COURSE004,24
EMP391,COURSE027,66
EMP108,COURSE004,14
EMP213,COURSE008,47
EMP219,COURSE002,46
EMP355,COURSE033,99
EMP382,COURSE044,36
EMP122,COURSE030,51
EMP089,COURSE028,91
EMP166,COURSE040,21
EMP382,COURSE025,77
EMP375,COURSE019,91
EMP223,COURSE037,31
EMP381,COURSE019,23
EMP446,COURSE030,91
EMP067,COURSE046,70
EMP196,COURSE016,39
EMP060,COURSE050,51
EMP180,COURSE014,85
EMP446,COURSE004,38
EMP445,COURSE044,22
EMP413,COURSE007,91
EMP038,COURSE019,61
EMP086,COURSE002,46
EMP002,COURSE028,88
EMP268,COURSE037,40
EMP174,COURSE014,18
EMP319,COURSE006,57
EMP324,COURSE028,73
EMP260,COURSE018,67
EMP434,COURSE015,46
EMP331,COURSE016,18
EMP140,COURSE047,91
EMP273,COURSE020,76
EMP337,COURSE021,63
EMP045,COURSE021,41
EMP305,COURSE010,65
EMP156,COURSE049,30
EMP273,COURSE043,63
EMP165,COURSE010,84
EMP099,COURSE047,28
EMP197,COURSE020,86
EMP285,COURSE033,45
EMP471,COURSE016,62
EMP354,COURSE003,87
EMP083,COURSE034,88
EMP148,COURSE018,8
EMP182,COURSE026,10
EMP497,COURSE015,87
EMP317,COURSE009,51
EMP030,COURSE023,45
EMP431,COURSE046,48
EMP392,COURSE029,47
EMP214,COURSE028,84
EMP262,COURSE037,72
EMP046,COURSE033,47
EMP403,COURSE024,51
EMP402,COURSE029,83
EMP201,COURSE040,58
EMP456,COURSE037,15
EMP040,COURSE006,68
EMP394,COURSE002,2
EMP482,COURSE045,41
EMP433,COURSE010,26
EMP329,COURSE005,82
EMP339,COURSE043,89
EMP337,COURSE043,70
EMP185,COURSE042,85
EMP056,COURSE024,93
EMP269,COURSE038,75
EMP406,COURSE008,89
EMP457,COURSE019,24
EMP180,COURSE004,94
EMP419,COURSE044,8
EMP056,COURSE047,93
EMP380,COURSE027,5
EMP469,COURSE048,9
EMP440,COURSE007,60
EMP275,COURSE040,93
EMP081,COURSE035,31
EMP087,COURSE048,0
EMP041,COURSE050,26
EMP285,COURSE042,34
EMP496,COURSE050,21
EMP488,COURSE028,56
EMP483,COURSE041,37
EMP219,COURSE045,95
EMP014,COURSE001,62
EMP141,COURSE038,49
EMP347,COURSE018,21
EMP023,COURSE024,10
EMP027,COURSE045,4
EMP021,COURSE001,99
EMP197,COURSE025,73
EMP131,COURSE029,3
EMP164,COURSE002,71
EMP275,COURSE016,86
EMP063,COURSE002,25
EMP277,COURSE019,12
EMP078,COURSE024,73
EMP324,COURSE049,31
EMP192,COURSE019,47
EMP485,COURSE012,85
EMP256,COURSE037,36
EMP451,COURSE006,71
EMP466,COURSE022,15
EMP134,COURSE022,1
EMP068,COURSE045,75
EMP381,COURSE036,6
EMP119,COURSE004,7
EMP022,COURSE001,77
EMP183,COURSE022,48
EMP419,COURSE014,14
EMP245,COURSE049,57
EMP350,COURSE006,28
EMP464,COURSE049,60
EMP296,COURSE024,72
EMP419,COURSE024,4
EMP423,COURSE041,33
EMP097,COURSE050,47
EMP235,COURSE021,93
EMP190,COURSE034,87
EMP225,COURSE039,11
EMP349,COURSE046,92
EMP371,COURSE009,68
EMP079,COURSE041,81
EMP447,COURSE032,85
EMP373,COURSE048,76
EMP027,COURSE017,51
EMP217,COURSE032,22
EMP160,COURSE042,48
EMP207,COURSE015,52
EMP366,COURSE050,81
EMP013,COURSE012,18
EMP281,COURSE033,14
EMP266,COURSE036,59
EMP454,COURSE010,50
EMP344,COURSE047,4
EMP095,COURSE031,90
EMP203,COURSE038,34
EMP417,COURSE007,90
EMP302,COURSE021,33
EMP239,COURSE021,72
EMP336,COURSE045,66
EMP226,COURSE038,51
EMP217,COURSE050,59
EMP467,COURSE049,53
EMP240,COURSE008,47
EMP484,COURSE034,73
EMP428,COURSE047,10
EMP180,COURSE030,81
EMP222,COURSE002,97
EMP490,COURSE008,73
EMP339,COURSE004,54
EMP220,COURSE019,27
EMP018,COURSE034,21
EMP496,COURSE033,50
EMP267,COURSE042,45
EMP453,COURSE002,72
EMP345,COURSE023,34
EMP069,COURSE022,31
EMP316,COURSE028,50
EMP159,COURSE018,47
EMP373,COURSE035,36
EMP250,COURSE021,1
EMP290,COURSE020,51
EMP492,COURSE030,97
EMP117,COURSE008,12
EMP380,COURSE021,17
EMP024,COURSE018,34
EMP266,COURSE048,67
EMP183,COURSE022,100
EMP203,COURSE022,11
EMP044,COURSE037,0
EMP084,COURSE026,31
